time,target,actual,control,p_term,i_term,source_label
8.88000000,1,0.9389979466498205,0.95802012155224359,0.036601232010107697,0.92141888954213591,闭环仿真数据，非实测
8.90000000,1,0.93937461094947938,0.95827912608485244,0.036375233430312369,0.92190389265454009,闭环仿真数据，非实测
8.92000000,1,0.93974894542965226,0.9585365338333115,0.036150632742208644,0.92238590109110286,闭环仿真数据，非实测
8.94000000,1,0.94012096460541128,0.95879235461101275,0.035927421236753229,0.92286493337425957,闭环仿真数据，非实测
8.96000000,1,0.94049068289872917,0.95904659817183224,0.035705590260762497,0.92334100791106977,闭环仿真数据，非实测
8.98000000,1,0.94085811463914404,0.95929927421047012,0.035485131216513574,0.92381414299395659,闭环仿真数据，非实测
9.00000000,1,0.94122327406441819,0.95955039236279038,0.035266035561349086,0.92428435680144128,闭环仿真数据，非实测
9.02000000,1,0.94158617532119004,0.95979996220615771,0.035048294807285975,0.92475166739887171,闭环仿真数据，非实测
9.04000000,1,0.94194683246562039,0.96004799325977452,0.034831900520627769,0.92521609273914673,闭环仿真数据，非实测
9.06000000,1,0.94230525946403243,0.96029449498501496,0.034616844321580541,0.92567765066343444,闭环仿真数据，非实测
9.08000000,1,0.94266147019354507,0.96053947678575902,0.034403117883872958,0.92613635890188606,闭环仿真数据，非实测
9.10000000,1,0.9430154784427015,0.96078294800872355,0.034190712934379093,0.92659223507434441,闭环仿真数据，非实测
9.12000000,1,0.94336729791209062,0.9610249179437933,0.033979621252745625,0.92704529669104763,闭环仿真数据，非实测
9.14000000,1,0.94371694221496361,0.96126539582434967,0.033769834671021834,0.92749556115332787,闭环仿真数据，非实测
9.16000000,1,0.94406442487784425,0.96150439082759853,0.033561345073293447,0.92794304575430508,闭环仿真数据，非实测
9.18000000,1,0.94440975934113436,0.96174191207489534,0.033354144395319384,0.92838776767957598,闭环仿真数据，非实测
9.20000000,1,0.94475295895971279,0.96197796863207063,0.033148224624172329,0.92882974400789831,闭环仿真数据，非实测
9.22000000,1,0.94509403700352945,0.96221256950975242,0.032943577797882324,0.92926899171187005,闭环仿真数据，非实测
9.24000000,1,0.94543300665819408,0.96244572366368808,0.032740196005083551,0.92970552765860448,闭环仿真数据，非实测
9.26000000,1,0.94576988102555959,0.96267743999506428,0.032538071384664247,0.93013936861040003,闭环仿真数据，非实测
9.28000000,1,0.94610467312430002,0.96290772735082564,0.032337196125419986,0.93057053122540567,闭环仿真数据，非实测
9.30000000,1,0.94643739589048381,0.96313659452399158,0.032137562465709708,0.93099903205828183,闭环仿真数据，非实测
9.32000000,1,0.94676806217814136,0.96336405025397187,0.031939162693115183,0.93142488756085673,闭环仿真数据，非实测
9.34000000,1,0.94709668475982811,0.96359010322688121,0.03174198914410313,0.93184811408277812,闭环仿真数据，非实测
