time,target,actual,control,p_term,i_term,source_label
4.92000000,1,0.99934510231623619,1.0002909954030166,0.0013097953675276219,0.99898120003548885,闭环仿真数据，非实测
4.94000000,1,0.99936383225426439,1.0002789822367895,0.0012723354914712104,0.99900664674531825,闭环仿真数据，非实测
4.96000000,1,0.9993819534380417,1.0002674617317133,0.0012360931239165929,0.99903136860779662,闭环仿真数据，非实测
4.98000000,1,0.99939948767705433,1.0002564137466057,0.0012010246458913354,0.99905538910071445,闭环仿真数据，非实测
5.00000000,1,0.99941645595010953,1.000245818962491,0.0011670880997809441,0.99907873086271004,闭环仿真数据，非实测
5.02000000,1,0.99943287843806494,1.0002356588490575,0.0011342431238701156,0.9991014157251874,闭环仿真数据，非实测
5.04000000,1,0.99944877455524594,1.0002259156324858,0.0011024508895081109,0.99912346474297753,闭环仿真数据，非实测
5.06000000,1,0.99946416297960305,1.0002165722645873,0.0010716740407938907,0.99914489822379338,闭环仿真数据，非实测
5.08000000,1,0.99947906168166212,1.0002076123932027,0.0010418766366757648,0.9991657357565269,闭环仿真数据，非实测
5.10000000,1,0.99949348795231396,1.0001990203338065,0.0010130240953720726,0.99918599623843429,闭环仿真数据，非实测
5.12000000,1,0.99950745842949262,1.0001907810422694,0.00098508314101475314,0.99920569790125457,闭环仿真数据，非实测
5.14000000,1,0.99952098912378506,1.0001828800887331,0.00095802175242987175,0.99922485833630315,闭环仿真数据，非实测
5.16000000,1,0.9995340954430173,1.0001753036325478,0.00093180911396539834,0.99924349451858241,闭环仿真数据，非实测
5.18000000,1,0.99954679221585663,1.0001680383982348,0.00090641556828674474,0.99926162282994813,闭环仿真数据，非实测
5.20000000,1,0.99955909371447083,1.0001610716524276,0.00088181257105834909,0.99927925908136928,闭环仿真数据，非实测
5.22000000,1,0.99957101367628243,1.000154391181753,0.00085797264743514567,0.99929641853431794,闭环仿真数据，非实测
5.24000000,1,0.99958256532485368,1.0001479852716164,0.00083486935029264409,0.99931311592132377,闭环仿真数据，非实测
5.26000000,1,0.9995937613899385,1.0001418426858493,0.00081247722012300905,0.99932936546572626,闭环仿真数据，非实测
5.28000000,1,0.99960461412673329,1.0001359526471902,0.00079077174653341409,0.99934518090065694,闭环仿真数据，非实测
5.30000000,1,0.99961513533436153,1.0001303048185595,0.00076972933127694709,0.99936057548728252,闭环仿真数据，非实测
5.32000000,1,0.9996253363736205,1.0001248892850967,0.00074932725275900225,0.99937556203233768,闭环仿真数据，非实测
5.34000000,1,0.99963522818402129,1.0001196965369341,0.00072954363195742999,0.99939015290497679,闭环仿真数据，非实测
5.36000000,1,0.99964482130014987,1.000114717452671,0.00071035739970026768,0.99940436005297084,闭环仿真数据，非实测
5.38000000,1,0.9996541258673779,1.0001099432835199,0.00069174826524420752,0.99941819501827578,闭环仿真数据，非实测
5.40000000,1,0.99966315165694741,1.0001053656381029,0.00067369668610517408,0.99943166895199786,闭环仿真数据，非实测
5.42000000,1,0.99967190808045658,1.0001009764678663,0.00065618383908683242,0.99944479262877961,闭环仿真数据，非实测
5.44000000,1,0.99968040420376947,1.0000967680530899,0.00063919159246106361,0.99945757646062883,闭环仿真数据，非实测
5.46000000,1,0.99968864876037311,1.0000927329894678,0.00062270247925377831,0.99947003051021388,闭环仿真数据，非实测
5.48000000,1,0.99969665016420506,1.0000888641752357,0.00060669967158988314,0.99948216450364569,闭环仿真数据，非实测
5.50000000,1,0.99970441652197117,1.0000851547988245,0.00059116695605765379,0.99949398784276688,闭环仿真数据，非实测
5.52000000,1,0.99971195564497572,1.0000815983270164,0.00057608871004855011,0.99950550961696782,闭环仿真数据，非实测
5.54000000,1,0.99971927506048264,1.0000781884935832,0.00056144987903472554,0.99951673861454848,闭环仿真数据，非实测
5.56000000,1,0.99972638202262609,1.0000749192883913,0.00054723595474781561,0.99952768333364339,闭环仿真数据，非实测
5.58000000,1,0.99973328352289026,1.0000717849469472,0.00053343295421948156,0.99953835199272778,闭环仿真数据，非实测
5.60000000,1,0.99973998630017413,1.0000687799403725,0.00052002739965173461,0.99954875254072084,闭环仿真数据，非实测
5.62000000,1,0.99974649685045835,1.0000658989657858,0.0005070062990832902,0.9995588926667025,闭环仿真数据，非实测
5.64000000,1,0.99975282143609046,1.000063136937078,0.00049435712781908947,0.99956877980925884,闭环仿真数据，非实测
5.66000000,1,0.99975896609470349,1.0000604889760636,0.00048206781059301207,0.99957842116547069,闭环仿真数据，非实测
5.68000000,1,0.99976493664778276,1.0000579504039937,0.00047012670443447035,0.99958782369955934,闭环仿真数据，非实测
5.70000000,1,0.9997707387088951,1.0000555167334133,0.00045852258220979714,0.99959699415120351,闭环仿真数据，非实测
5.72000000,1,0.99977637769159367,1.0000531836603526,0.0004472446168126698,0.99960593904353978,闭环仿真数据，非实测
5.74000000,1,0.99978185881701165,1.0000509470568359,0.00043628236597670345,0.99961466469085936,闭环仿真数据，非实测
5.76000000,1,0.99978718712115766,1.0000488029636978,0.00042562575768467781,0.99962317720601301,闭环仿真数据，非实测
5.78000000,1,0.99979236746192401,1.0000467475836881,0.00041526507615197161,0.99963148250753608,闭环仿真数据，非实测
5.80000000,1,0.99979740452581933,1.0000447772748646,0.00040519094836133362,0.99963958632650329,闭环仿真数据，非实测
5.82000000,1,0.99980230283443827,1.0000428885442492,0.00039539433112345534,0.99964749421312571,闭环仿真数据，非实测
5.84000000,1,0.99980706675067588,1.0000410780417468,0.00038586649864824629,0.99965521154309867,闭环仿真数据，非实测
